carat	cut	color	clarity	price
0.17	Ideal	I	SI1	194
0.17	Excellent	D	VVS1	335
0.17	Very Good	E	VS2	266
0.18	Ideal	D	VVS1	362
0.18	Ideal	D	VS2	294
0.18	Ideal	E	IF	389
0.18	Excellent	G	SI1	273
0.18	Ideal	D	VS1	328
0.18	Very Good	D	VS2	272
0.18	Ideal	E	VS1	293
0.18	Ideal	D	VVS2	362
0.18	Excellent	I	VS2	273
0.18	Ideal	G	VS2	326
0.18	Ideal	F	VS1	293
0.18	Ideal	E	VS2	272
0.18	Ideal	G	VS1	322
0.18	Ideal	H	VS1	326
0.18	Excellent	G	SI1	271
0.18	Ideal	H	IF	354
0.18	Very Good	I	VS2	271
0.18	Ideal	D	IF	389
0.18	Very Good	G	VS2	277
0.18	Ideal	E	SI1	276
0.18	Ideal	F	IF	389
0.18	Ideal	F	IF	389
0.18	Excellent	F	VS2	272
0.18	Ideal	G	VS2	322
0.18	Ideal	H	VS2	279
0.18	Ideal	D	VVS2	352
0.18	Excellent	H	VVS1	354
0.18	Very Good	D	VS2	277
0.18	Ideal	E	SI1	276
0.18	Ideal	J	VVS1	247
0.18	Excellent	D	VS2	272
0.18	Ideal	F	VS1	293
0.18	Excellent	D	VS1	294
0.18	Excellent	D	VS1	328
0.18	Ideal	E	SI1	276
0.18	Ideal	E	VS2	294
0.18	Ideal	D	VS1	297
0.18	Excellent	F	SI2	259
0.18	Very Good	D	IF	372
0.18	Ideal	D	VS1	328
0.18	Excellent	D	VVS2	362
0.18	Ideal	E	VS2	294
0.18	Very Good	D	VVS2	352
0.18	Ideal	D	VS1	328
0.18	Ideal	D	VVS2	362
0.18	Ideal	G	IF	354
0.18	Ideal	D	IF	467
0.18	Ideal	D	VS1	328
0.18	Excellent	E	VS2	275
0.18	Ideal	F	VVS1	362
0.18	Ideal	F	VS1	294
0.18	Excellent	D	VVS1	362
0.18	Excellent	F	SI1	275
0.18	Ideal	G	VVS1	354
0.18	Excellent	D	VS2	283
0.18	Ideal	H	IF	354
0.18	Ideal	E	SI1	280
0.18	Ideal	E	SI1	276
0.18	Ideal	E	IF	362
0.18	Ideal	L	VS2	150
0.18	Excellent	D	VVS1	362
0.18	Ideal	D	VS1	297
0.18	Ideal	F	SI2	259
0.18	Ideal	F	SI1	276
0.18	Ideal	D	VS1	328
0.18	Ideal	D	VS1	328
0.18	Excellent	F	VS2	272
0.18	Very Good	D	VS2	277
0.18	Excellent	H	VS1	279
0.18	Excellent	D	VVS1	362
0.18	Excellent	H	VS1	312
0.18	Ideal	F	VVS1	362
0.18	Ideal	I	SI1	234
0.18	Ideal	D	SI1	276
0.18	Excellent	D	VS1	297
0.18	Excellent	E	SI2	259
0.18	Excellent	E	SI1	275
0.18	Excellent	E	SI1	273
0.18	Ideal	D	IF	467
0.18	Very Good	G	SI1	272
0.18	Excellent	F	VS1	277
0.18	Good	E	VVS1	334
0.18	Ideal	G	IF	354
0.18	Excellent	E	SI1	271
0.18	Ideal	E	VVS1	389
0.18	Ideal	F	IF	372
0.18	Very Good	D	VS1	297
0.18	Excellent	D	VS1	297
0.18	Excellent	J	IF	247
0.18	Ideal	I	VS1	286
0.18	Ideal	D	VS1	328
0.18	Very Good	I	SI1	232
0.18	Very Good	D	VVS1	334
0.18	Excellent	D	SI1	273
0.18	Ideal	F	VS2	294
0.18	Excellent	E	SI1	275
0.18	Excellent	F	SI1	275
0.18	Excellent	D	VVS2	352
0.18	Excellent	E	VS1	292
0.18	Ideal	F	IF	389
0.18	Very Good	H	VS1	282
0.18	Excellent	E	VS1	292
0.18	Excellent	D	VS1	297
0.18	Ideal	F	IF	385
0.18	Excellent	D	IF	389
0.18	Ideal	F	VVS1	362
0.18	Ideal	E	VVS1	360
0.18	Excellent	D	VVS2	352
0.18	Excellent	E	VVS1	360
0.18	Ideal	D	VVS1	389
0.18	Ideal	D	VVS2	352
0.18	Ideal	I	SI1	195
0.18	Excellent	H	VS1	312
0.18	Very Good	D	VS1	294
0.18	Excellent	D	VS2	277
0.18	Ideal	F	VVS1	362
0.18	Very Good	D	VVS2	352
0.18	Good	D	VVS1	331
0.18	Ideal	I	VS2	217
0.18	Excellent	D	VVS2	352
0.18	Excellent	F	VVS1	360
0.18	Ideal	D	SI2	260
0.18	Excellent	D	VVS2	352
0.18	Excellent	D	VS1	297
0.18	Excellent	D	VS1	328
0.18	Excellent	D	VVS2	352
0.18	Excellent	D	VS1	297
0.18	Excellent	D	VVS1	334
0.18	Very Good	E	VVS1	352
0.18	Ideal	D	VS1	294
0.18	Excellent	D	VS1	297
0.18	Excellent	D	VS1	297
0.18	Excellent	D	VS1	294
0.18	Very Good	D	SI1	273
0.18	Ideal	E	VVS2	389
0.18	Excellent	H	VS1	332
0.18	Ideal	J	SI1	195
0.18	Good	D	VS2	272
0.18	Very Good	E	VVS2	327
0.18	Excellent	E	VVS1	352
0.18	Very Good	D	SI1	273
0.18	Ideal	D	VVS2	352
0.18	Good	E	VS2	277
0.18	Excellent	E	VS1	292
0.18	Ideal	I	VS1	273
0.18	Excellent	E	SI1	276
0.18	Ideal	D	VS1	328
0.18	Excellent	E	VS1	292
0.18	Very Good	E	VVS1	334
0.18	Excellent	E	VVS2	327
0.18	Ideal	D	SI1	273
0.18	Ideal	F	VVS1	389
0.18	Ideal	E	VVS1	389
0.18	Ideal	D	VVS1	389
0.18	Ideal	E	VS1	293
0.18	Ideal	E	VVS1	389
0.18	Excellent	E	VVS2	327
0.18	Excellent	G	VS1	322
0.18	Ideal	F	IF	372
0.18	Ideal	I	VVS2	312
0.18	Excellent	D	VVS1	362
0.18	Excellent	E	VVS2	327
0.18	Ideal	F	VS2	275
0.18	Excellent	H	VS2	319
0.18	Excellent	D	VS2	275
0.18	Ideal	E	IF	389
0.18	Excellent	D	VS1	328
0.18	Ideal	G	IF	354
0.18	Ideal	D	VS1	328
0.18	Very Good	E	VS1	292
0.18	Excellent	G	VS1	312
0.18	Ideal	G	VS2	309
0.18	Excellent	D	VVS1	362
0.18	Ideal	F	VVS2	362
0.18	Excellent	E	SI1	273
0.18	Ideal	J	VVS2	247
0.18	Ideal	D	VVS2	362
0.18	Ideal	H	VS2	322
0.18	Ideal	H	VS2	259
0.18	Good	G	SI1	271
0.18	Ideal	F	VS2	277
0.18	Ideal	E	VVS2	362
0.18	Ideal	G	IF	378
0.18	Excellent	D	VS1	297
0.18	Excellent	F	SI1	275
0.18	Excellent	G	VVS2	309
0.18	Very Good	D	VS2	277
0.18	Ideal	E	VVS2	389
0.18	Excellent	D	VVS1	362
0.18	Ideal	F	SI1	276
0.18	Very Good	F	VS2	272
0.18	Ideal	F	IF	389
0.18	Very Good	D	VS1	294
0.18	Ideal	D	VVS1	359
0.18	Ideal	D	VVS1	374
0.18	Ideal	F	VVS1	362
0.18	Good	E	VS1	272
0.18	Ideal	J	VS1	221
0.18	Ideal	F	IF	389
0.18	Excellent	E	VVS1	360
0.18	Excellent	I	VS2	273
0.18	Very Good	F	SI1	275
0.18	Ideal	F	VVS1	389
0.18	Ideal	D	IF	467
0.18	Ideal	H	VS2	259
0.18	Ideal	D	VS2	283
0.18	Excellent	I	SI1	195
0.18	Excellent	G	VS2	312
0.18	Excellent	E	VVS1	360
0.18	Ideal	G	VVS1	378
0.18	Excellent	F	VS2	272
0.18	Ideal	E	VVS2	362
0.18	Ideal	E	VVS1	389
0.18	Ideal	I	SI1	195
0.18	Ideal	D	IF	467
0.18	Good	I	VVS2	247
0.18	Good	H	VS2	259
0.18	Excellent	D	VS2	277
0.18	Very Good	L	SI1	180
0.18	Ideal	E	VS1	294
0.18	Excellent	H	VS2	259
0.18	Ideal	H	IF	290
0.18	Good	E	VS2	274
0.18	Ideal	D	VVS1	362
0.18	Ideal	F	IF	372
0.18	Very Good	D	IF	389
0.18	Excellent	E	SI2	259
0.18	Excellent	D	SI1	273
0.18	Ideal	F	VVS1	362
0.18	Ideal	D	VS2	283
0.18	Ideal	E	VVS1	362
0.18	Excellent	D	VS2	295
0.18	Ideal	D	VS1	316
0.18	Ideal	E	VS1	316
0.18	Ideal	D	VS2	316
0.18	Ideal	E	VS2	316
0.19	Ideal	F	VS2	311
0.19	Very Good	D	VS1	313
0.19	Very Good	D	VVS2	372
0.19	Excellent	F	SI1	288
0.19	Excellent	E	VVS1	372
0.19	Excellent	D	VVS2	372
0.19	Ideal	H	VVS1	399
0.19	Very Good	E	SI1	290
0.19	Good	F	VVS2	326
0.19	Excellent	I	VS1	231
0.19	Ideal	F	VVS2	336
0.19	Very Good	E	VVS2	346
0.19	Ideal	F	VS2	311
0.19	Ideal	D	VS2	311
0.19	Very Good	E	VS1	287
0.19	Excellent	D	VS1	313
0.19	Excellent	E	VS1	308
0.19	Ideal	E	VS2	311
0.19	Ideal	K	IF	247
0.19	Ideal	I	VS2	234
0.19	Ideal	E	VVS1	382
0.19	Ideal	F	IF	388
0.19	Ideal	F	VVS1	388
0.19	Excellent	E	SI2	272
0.19	Ideal	J	VS2	234
0.19	Ideal	I	VS1	234
0.19	Ideal	D	IF	493
0.19	Excellent	E	VVS1	372
0.19	Excellent	D	VS1	313
0.19	Very Good	D	VVS2	368
0.19	Ideal	D	VS1	313
0.19	Ideal	F	VS2	287
0.19	Excellent	D	VS1	313
0.19	Ideal	E	VS2	311
0.19	Ideal	F	VVS1	382
0.19	Very Good	D	VS1	313
0.19	Ideal	G	VVS1	399
0.19	Ideal	D	SI1	291
0.19	Ideal	D	VVS1	388
0.19	Ideal	F	VVS2	382
0.19	Ideal	E	VVS2	388
0.19	Ideal	H	VS1	273
0.19	Very Good	F	SI1	290
0.19	Ideal	E	VVS1	388
0.19	Ideal	F	VVS2	379
0.19	Ideal	G	IF	399
0.19	Ideal	G	VVS1	399
0.19	Excellent	F	SI1	290
0.19	Ideal	G	SI1	291
0.19	Ideal	I	IF	261
0.19	Ideal	F	VVS2	382
0.19	Excellent	E	VVS1	380
0.19	Excellent	F	SI1	290
0.19	Ideal	E	VVS2	382
0.19	Ideal	D	SI1	295
0.19	Ideal	E	SI1	295
0.19	Ideal	F	VVS1	388
0.19	Ideal	E	VVS2	388
0.19	Ideal	D	VVS1	368
0.19	Ideal	I	VS2	286
0.19	Ideal	E	SI1	295
0.19	Ideal	G	SI1	268
0.19	Excellent	E	SI1	177
0.20	Ideal	H	SI1	311
0.20	Ideal	E	VVS1	492
0.20	Excellent	D	VS2	330
0.20	Excellent	D	VVS2	387
0.20	Excellent	E	VS1	324
0.20	Very Good	D	VVS2	387
0.20	Very Good	D	VVS1	368
0.20	Ideal	D	SI1	311
0.20	Ideal	D	VVS2	601
0.20	Ideal	D	VVS2	409
0.20	Excellent	H	SI1	311
0.20	Ideal	F	IF	492
0.20	Ideal	F	SI2	285
0.20	Ideal	F	VS2	376
0.20	Ideal	E	VVS1	492
0.20	Ideal	E	VVS1	492
0.20	Ideal	D	IF	544
0.20	Ideal	H	VS1	365
0.20	Ideal	E	VVS1	492
0.20	Very Good	H	VVS2	383
0.20	Ideal	J	VVS1	289
0.20	Ideal	J	IF	289
0.20	Ideal	H	VS1	358
0.20	Ideal	F	VVS1	409
0.20	Ideal	E	VVS1	409
0.20	Ideal	E	SI1	244
0.20	Ideal	D	SI1	308
0.20	Excellent	G	VS1	362
0.20	Excellent	I	VVS2	289
0.20	Ideal	I	VVS1	289
0.20	Ideal	G	VS2	362
0.20	Excellent	D	VS1	330
0.20	Ideal	D	VVS1	601
0.20	Ideal	E	IF	497
0.20	Ideal	J	IF	289
0.20	Ideal	G	VVS1	394
0.20	Ideal	E	IF	497
0.20	Ideal	G	VVS2	393
0.20	Excellent	E	VVS1	492
0.20	Ideal	D	SI1	311
0.20	Ideal	F	IF	492
0.20	Excellent	D	VS2	321
0.20	Ideal	D	VS1	351
0.20	Ideal	D	VS2	351
0.21	Ideal	F	IF	516
0.21	Ideal	G	SI2	322
0.21	Excellent	E	VVS1	394
0.21	Ideal	D	VVS1	406
0.21	Ideal	E	IF	516
0.21	Ideal	F	VS2	395
0.21	Ideal	F	VS2	395
0.21	Ideal	D	VVS2	631
0.21	Ideal	I	SI1	235
0.21	Ideal	H	SI1	304
0.21	Excellent	E	VVS1	394
0.21	Ideal	I	VVS1	304
0.21	Ideal	D	VVS2	631
0.21	Ideal	F	VVS1	516
0.21	Ideal	J	IF	304
0.21	Ideal	G	IF	430
0.21	Ideal	D	VVS1	631
0.21	Ideal	G	VVS1	414
0.21	Ideal	E	VVS1	502
0.21	Excellent	E	SI1	322
0.21	Ideal	D	VS1	383
0.21	Ideal	E	VS2	369
0.21	Very Good	E	VVS2	369
0.22	Ideal	J	VS2	286
0.22	Ideal	F	VVS1	541
0.22	Ideal	I	SI1	247
0.22	Ideal	J	IF	318
0.22	Ideal	J	VVS2	318
0.22	Ideal	I	VS1	286
0.22	Excellent	G	SI1	332
0.22	Ideal	D	VVS1	622
0.22	Good	G	VS2	345
0.22	Excellent	H	VVS1	409
0.22	Excellent	G	VVS1	409
0.22	Ideal	I	VS1	286
0.22	Ideal	J	VVS1	318
0.22	Ideal	I	VVS1	318
0.22	Ideal	D	VVS2	622
0.22	Ideal	H	VVS1	409
0.22	Very Good	D	VVS2	402
0.22	Ideal	E	VS1	400
0.22	Ideal	E	VVS2	449
0.22	Excellent	I	VS2	366
0.22	Excellent	E	VVS2	386
0.22	Very Good	F	SI1	205
0.23	Ideal	G	VS2	386
0.23	Excellent	E	SI2	343
0.23	Excellent	D	VVS1	543
0.23	Excellent	H	VVS1	468
0.23	Ideal	D	VVS1	651
0.23	Very Good	M	VS1	230
0.23	Very Good	F	VVS1	545
0.23	Excellent	F	SI1	349
0.23	Ideal	K	VS1	233
0.23	Ideal	J	VS2	300
0.23	Ideal	D	VVS2	651
0.23	Excellent	D	VS1	402
0.23	Ideal	E	SI1	333
0.23	Ideal	H	VVS1	468
0.23	Ideal	H	VVS1	385
0.23	Ideal	E	VVS1	611
0.23	Ideal	G	IF	428
0.23	Ideal	J	VS1	300
0.23	Ideal	D	VS1	470
0.23	Ideal	E	IF	565
0.23	Ideal	F	VS2	429
0.23	Ideal	J	IF	408
0.23	Ideal	D	VS1	470
0.23	Excellent	D	SI1	349
0.23	Ideal	D	VVS2	651
0.23	Excellent	D	VS2	407
0.23	Ideal	H	VS2	343
0.23	Excellent	J	VVS2	349
0.23	Ideal	I	IF	349
0.23	Ideal	D	VVS1	651
0.23	Ideal	J	VS1	300
0.23	Ideal	I	VS1	300
0.23	Ideal	F	VS2	429
0.23	Ideal	J	IF	349
0.23	Ideal	I	VVS2	397
0.23	Excellent	E	VVS2	460
0.23	Ideal	D	SI1	356
0.23	Very Good	D	VS2	403
0.23	Excellent	E	VVS1	560
0.23	Ideal	F	VVS1	611
0.23	Ideal	D	VS2	470
0.23	Very Good	D	VS1	395
0.23	Ideal	G	IF	468
0.23	Ideal	E	IF	565
0.23	Excellent	D	VS2	403
0.23	Ideal	E	VS2	403
0.23	Ideal	F	VVS2	532
0.23	Excellent	E	VVS2	544
0.23	Very Good	F	SI2	308
0.23	Ideal	F	VVS1	611
0.23	Ideal	D	VVS2	651
0.23	Ideal	F	VVS2	580
0.23	Ideal	H	VS1	376
0.23	Ideal	D	VS1	487
0.23	Ideal	I	VS1	300
0.23	Ideal	I	VS2	300
0.23	Ideal	I	SI1	283
0.23	Ideal	H	VS1	376
0.23	Ideal	G	VVS1	509
0.23	Very Good	F	SI1	349
0.23	Ideal	G	IF	509
0.23	Excellent	E	IF	565
0.23	Ideal	G	VVS2	466
0.23	Ideal	I	SI1	329
0.23	Ideal	I	SI1	283
0.23	Ideal	E	SI1	386
0.23	Very Good	H	SI1	348
0.23	Ideal	E	VVS2	540
0.23	Excellent	E	SI1	362
0.23	Ideal	H	VS1	407
0.23	Excellent	G	VVS1	420
0.23	Ideal	D	VVS1	651
0.23	Excellent	D	VS2	407
0.23	Ideal	E	SI1	386
0.23	Ideal	H	VS2	389
0.23	Ideal	E	VVS1	611
0.23	Excellent	E	VS2	403
0.23	Ideal	E	VVS1	611
0.23	Very Good	E	VS2	391
0.23	Excellent	D	SI1	349
0.23	Ideal	D	VVS1	651
0.23	Excellent	E	SI2	346
0.23	Ideal	E	VVS1	611
0.23	Ideal	G	SI1	348
0.23	Ideal	F	VS2	448
0.23	Ideal	D	VVS2	651
0.23	Ideal	I	VS1	378
0.23	Ideal	G	SI1	341
0.23	Ideal	G	VS2	416
0.23	Ideal	D	VVS2	540
0.23	Ideal	D	VVS1	611
0.23	Ideal	I	SI1	283
0.23	Ideal	E	VVS1	548
0.23	Ideal	I	VVS2	349
0.23	Ideal	I	VVS2	349
0.23	Very Good	E	VS2	391
0.23	Very Good	E	VS2	394
0.23	Ideal	H	IF	385
0.23	Ideal	H	VVS2	466
0.23	Ideal	E	VVS1	540
0.23	Ideal	F	VS2	407
0.23	Ideal	F	VVS2	580
0.23	Ideal	D	SI1	352
0.23	Excellent	D	VVS1	558
0.23	Excellent	H	VVS2	466
0.23	Ideal	F	VVS1	545
0.23	Excellent	D	SI2	343
0.23	Ideal	F	VS2	399
0.23	Ideal	H	IF	385
0.23	Excellent	D	SI2	339
0.23	Excellent	H	SI1	348
0.23	Very Good	D	VS2	387
0.23	Excellent	D	VS2	407
0.23	Ideal	F	SI1	356
0.23	Ideal	F	VVS2	580
0.23	Excellent	D	SI2	346
0.23	Excellent	G	VVS1	468
0.23	Excellent	H	SI1	343
0.23	Excellent	F	VS1	401
0.23	Ideal	F	VS2	399
0.23	Ideal	E	VVS2	548
0.23	Excellent	F	SI1	353
0.23	Excellent	F	SI1	353
0.23	Ideal	J	IF	349
0.23	Ideal	E	VVS1	611
0.23	Ideal	I	IF	408
0.23	Ideal	H	SI1	344
0.23	Excellent	H	SI1	348
0.23	Excellent	F	VS2	407
0.23	Ideal	D	IF	828
0.23	Excellent	E	SI2	343
0.23	Excellent	E	VVS1	548
0.23	Ideal	D	VVS1	651
0.23	Excellent	H	SI2	233
0.23	Excellent	H	SI2	233
0.23	Very Good	H	SI2	216
0.23	Good	H	SI1	272
0.23	Good	H	SI1	272
0.23	Excellent	H	SI2	233
0.23	Very Good	H	SI2	233
0.23	Good	H	SI1	272
0.23	Very Good	H	SI1	272
0.23	Very Good	G	VS2	322
0.23	Good	G	SI2	233
0.23	Excellent	H	SI2	233
0.23	Very Good	H	VS2	434
0.23	Very Good	F	SI1	304
0.23	Very Good	F	SI2	250
0.23	Excellent	H	SI1	272
0.23	Very Good	H	SI1	272
0.23	Good	J	VS2	195
0.23	Good	H	VS2	250
0.23	Ideal	E	VS1	499
0.23	Ideal	D	VVS1	499
0.23	Excellent	E	VS1	499
0.23	Ideal	E	VS1	499
0.23	Ideal	G	VVS1	469
0.23	Ideal	E	VVS2	499
0.23	Ideal	F	VVS1	499
0.23	Very Good	D	VVS1	499
0.23	Very Good	F	VVS2	455
0.23	Ideal	E	VVS1	440
0.23	Ideal	E	VS2	484
0.23	Excellent	E	VVS2	484
0.23	Very Good	F	IF	484
0.23	Very Good	D	VVS2	499
0.23	Ideal	E	VS1	499
0.23	Ideal	E	VVS2	499
0.23	Ideal	E	VS1	499
0.23	Ideal	D	VVS2	499
0.23	Ideal	F	VS1	484
0.23	Ideal	E	VVS1	499
0.23	Ideal	E	VVS2	499
0.23	Ideal	D	IF	578
0.23	Ideal	F	VVS1	499
0.23	Ideal	D	VS2	484
0.23	Ideal	E	VS2	455
0.24	Ideal	J	VVS1	364
0.24	Ideal	I	VVS2	414
0.24	Ideal	K	VVS1	260
0.24	Excellent	H	VVS1	488
0.24	Ideal	E	VVS2	556
0.24	Ideal	D	VVS1	679
0.24	Ideal	J	VS2	313
0.24	Ideal	D	IF	864
0.24	Excellent	H	VS1	423
0.24	Ideal	J	IF	364
0.24	Ideal	F	VVS1	600
0.24	Ideal	D	IF	634
0.24	Ideal	D	VVS2	569
0.24	Excellent	F	VVS2	561
0.24	Excellent	E	VVS2	567
0.24	Ideal	F	VVS1	600
0.24	Ideal	F	VS2	463
0.24	Excellent	D	VS1	419
0.24	Ideal	E	SI1	378
0.24	Ideal	F	SI1	371
0.24	Excellent	F	SI2	330
0.24	Ideal	D	VVS2	679
0.24	Excellent	F	SI1	371
0.24	Ideal	I	VVS2	364
0.24	Ideal	H	VVS1	402
0.24	Ideal	D	VVS1	679
0.24	Ideal	D	VVS2	572
0.24	Ideal	I	IF	364
0.24	Ideal	H	VVS2	531
0.24	Ideal	J	VVS2	364
0.24	Ideal	F	IF	590
0.24	Ideal	F	SI1	403
0.24	Ideal	J	VVS1	364
0.24	Ideal	J	VVS1	364
0.24	Ideal	H	SI1	371
0.24	Ideal	H	IF	531
0.24	Ideal	J	VS2	313
0.24	Ideal	H	SI1	359
0.24	Ideal	H	VVS2	531
0.24	Ideal	D	VS2	490
0.24	Ideal	E	VS2	448
0.24	Ideal	I	VVS2	364
0.24	Ideal	H	IF	402
0.24	Ideal	I	VVS2	364
0.24	Excellent	E	VVS2	525
0.24	Ideal	D	VS2	420
0.24	Ideal	D	VVS2	572
0.24	Ideal	E	VVS1	600
0.24	Ideal	E	VS2	467
0.24	Ideal	I	VVS1	364
0.24	Excellent	H	SI1	363
0.24	Ideal	K	SI1	295
0.24	Ideal	I	SI1	295
0.24	Ideal	I	VVS1	364
0.24	Ideal	H	VVS1	402
0.24	Excellent	G	SI2	337
0.24	Excellent	H	SI2	243
0.24	Very Good	H	SI1	284
0.24	Good	G	SI2	243
0.24	Good	H	SI1	284
0.24	Good	H	SI1	284
0.24	Very Good	H	SI1	284
0.24	Very Good	H	SI1	284
0.24	Very Good	H	SI1	284
0.24	Excellent	H	SI1	284
0.24	Excellent	H	VS2	288
0.24	Very Good	H	VS2	336
0.24	Very Good	H	SI1	284
0.24	Very Good	H	VS2	336
0.24	Excellent	H	SI1	284
0.24	Ideal	G	VS1	405
0.24	Ideal	G	VS1	490
0.24	Ideal	E	VS1	520
0.24	Ideal	E	VS1	520
0.24	Ideal	E	VVS2	520
0.24	Ideal	F	VS1	520
0.24	Excellent	D	VS2	490
0.24	Ideal	D	VS1	505
0.24	Ideal	H	IF	459
0.24	Ideal	E	VVS2	520
0.24	Ideal	F	VVS2	520
0.24	Ideal	E	VS2	505
0.24	Very Good	E	SI3	267
0.24	Very Good	F	VS2	373
0.25	Ideal	I	VS2	343
0.25	Ideal	G	SI2	351
0.25	Ideal	E	SI1	368
0.25	Good	E	SI1	376
0.25	Ideal	E	VS2	495
0.25	Excellent	I	VS2	343
0.25	Ideal	I	VS2	343
0.25	Ideal	D	VS1	547
0.25	Ideal	K	IF	275
0.25	Ideal	G	SI1	380
0.25	Ideal	H	VS1	442
0.25	Ideal	E	VVS2	674
0.25	Ideal	E	VS2	490
0.25	Ideal	D	VVS2	604
0.25	Ideal	J	IF	387
0.25	Ideal	G	VS1	468
0.25	Ideal	I	VVS1	444
0.25	Ideal	J	VVS1	387
0.25	Excellent	H	SI1	378
0.25	Excellent	J	VVS1	410
0.25	Ideal	F	VVS1	674
0.25	Ideal	J	IF	387
0.25	Ideal	H	IF	553
0.25	Ideal	D	SI1	394
0.25	Ideal	G	VVS1	553
0.25	Excellent	F	SI1	387
0.25	Ideal	K	SI1	308
0.25	Ideal	G	VVS1	553
0.25	Ideal	H	VVS2	553
0.25	Ideal	E	SI2	372
0.25	Ideal	G	SI1	380
0.25	Ideal	F	VS2	495
0.25	Excellent	M	VVS1	224
0.25	Ideal	I	SI1	376
0.25	Ideal	I	VVS2	444
0.25	Ideal	I	SI1	374
0.25	Ideal	E	VVS1	674
0.25	Ideal	D	VS2	455
0.25	Ideal	H	VS2	452
0.25	Very Good	G	SI2	253
0.25	Very Good	G	SI2	253
0.25	Excellent	H	VS2	472
0.25	Excellent	F	SI1	331
0.25	Very Good	G	VS2	472
0.25	Excellent	H	VS2	472
0.25	Very Good	H	VS2	350
0.25	Very Good	H	VS2	472
0.25	Excellent	G	SI1	295
0.25	Very Good	H	SI1	295
0.25	Very Good	H	SI1	295
0.25	Very Good	H	SI1	295
0.25	Excellent	H	SI1	295
0.25	Very Good	H	SI1	295
0.25	Very Good	H	SI1	295
0.25	Excellent	E	VVS1	542
0.25	Ideal	G	VS1	494
0.25	Ideal	F	VS1	526
0.25	Ideal	E	VVS1	542
0.25	Ideal	F	VS1	542
0.25	Excellent	E	VVS1	542
0.25	Ideal	D	VS1	526
0.25	Ideal	F	VVS2	548
0.25	Excellent	E	VVS2	542
0.25	Ideal	F	VS2	526
0.25	Excellent	E	SI3	270
0.25	Very Good	H	VVS2	383
0.25	Good	E	SI1	338
0.26	Ideal	E	VVS2	701
0.26	Ideal	I	VVS1	402
0.26	Ideal	H	VS2	408
0.26	Ideal	I	VS1	357
0.26	Ideal	J	VS2	357
0.26	Excellent	I	SI2	357
0.26	Ideal	I	VS2	357
0.26	Ideal	J	VVS2	402
0.26	Ideal	I	IF	402
0.26	Ideal	J	VVS2	402
0.26	Ideal	J	VVS2	402
0.26	Ideal	D	VS2	510
0.26	Ideal	J	IF	402
0.26	Excellent	I	VS2	357
0.26	Ideal	H	VS2	391
0.26	Ideal	J	VVS1	402
0.26	Ideal	D	VVS1	802
0.26	Ideal	E	VVS1	701
0.26	Ideal	G	VS1	458
0.26	Ideal	F	VVS1	701
0.26	Ideal	I	SI1	338
0.26	Ideal	G	VVS2	529
0.26	Ideal	D	VVS1	629
0.26	Ideal	D	VVS2	802
0.26	Ideal	K	VS2	271
0.26	Ideal	H	SI1	395
0.26	Ideal	E	VS2	403
0.26	Excellent	E	VS2	515
0.26	Excellent	H	SI1	307
0.26	Excellent	H	SI2	263
0.26	Good	G	SI2	263
0.26	Good	H	SI1	307
0.26	Excellent	H	SI1	307
0.26	Excellent	G	SI2	263
0.26	Excellent	H	SI2	263
0.26	Excellent	F	VS1	399
0.26	Good	H	SI1	307
0.26	Excellent	H	SI1	307
0.26	Excellent	G	VS2	491
0.26	Excellent	G	VS2	491
0.26	Very Good	H	SI2	263
0.26	Excellent	H	SI1	307
0.26	Very Good	H	VS2	491
0.26	Very Good	H	SI1	307
0.26	Very Good	F	SI1	344
0.26	Excellent	G	VS2	364
0.26	Very Good	H	VS2	364
0.26	Very Good	H	SI1	307
0.26	Very Good	H	VS2	364
0.26	Excellent	G	VS2	364
0.26	Very Good	H	SI1	307
0.26	Very Good	H	SI1	307
0.26	Good	H	SI1	307
0.26	Very Good	H	SI1	307
0.26	Excellent	H	SI1	307
0.26	Very Good	H	SI1	307
0.26	Very Good	H	SI1	307
0.26	Very Good	G	SI1	307
0.26	Very Good	G	SI1	307
0.26	Very Good	H	SI1	307
0.26	Excellent	G	VS2	364
0.26	Excellent	E	VS1	564
0.26	Ideal	G	VVS2	530
0.26	Ideal	G	IF	540
0.26	Very Good	G	VS1	514
0.26	Ideal	E	VVS2	564
0.26	Ideal	G	VS2	497
0.26	Excellent	F	VVS2	568
0.26	Excellent	E	IF	570
0.26	Ideal	D	VS2	547
0.26	Ideal	D	VS2	547
0.26	Very Good	F	SI2	316
0.27	Ideal	D	VS1	626
0.27	Excellent	F	VVS2	631
0.27	Ideal	J	VVS2	395
0.27	Ideal	E	VS2	530
0.27	Excellent	D	SI2	398
0.27	Very Good	F	SI2	346
0.27	Ideal	F	IF	728
0.27	Ideal	F	SI1	461
0.27	Ideal	F	VVS1	608
0.27	Ideal	F	VVS1	675
0.27	Excellent	J	IF	395
0.27	Ideal	I	IF	395
0.27	Ideal	I	VS2	371
0.27	Ideal	H	VVS2	452
0.27	Ideal	I	VVS2	478
0.27	Ideal	I	VS1	419
0.27	Ideal	G	VVS1	604
0.27	Ideal	D	IF	956
0.27	Excellent	E	VVS1	590
0.27	Excellent	H	SI1	319
0.27	Excellent	H	SI1	319
0.27	Good	G	SI1	319
0.27	Excellent	H	SI2	273
